"","ï..date","state","stay_at_home","non_essential_business_closure","large_gathering_ban","school_closure","bar_restaurant_limits","primary_election_postponed","emergency_declaration","adult_under_60","adult_over_60","risk_under_60","risk_over_60","hospital_beds","beds_per_thousand","total_chc","total_chc_delivery_sites"
"138","29-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"139","30-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"140","31-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"141","1-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"142","2-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"143","3-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"144","4-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"145","5-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"146","6-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"147","7-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"148","8-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"149","9-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"150","10-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"151","11-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"152","12-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"153","13-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"154","14-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"155","15-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"156","16-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"157","17-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"158","18-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"159","19-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"160","20-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"161","21-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"162","22-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"163","23-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"164","24-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"165","25-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"166","26-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"167","27-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"168","28-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"169","29-Feb","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"170","1-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"171","2-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"172","3-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"173","4-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"174","5-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"175","6-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"176","7-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"177","8-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"178","9-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"179","10-Mar","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"180","11-Mar","Arizona","0","0",999,"0","0","0","1","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
